player_name,opponent,home,minutes,avg_points_last5,avg_rebounds_last5,avg_assists_last5,points,rebounds,assists,opp_avg_points_allowed,opp_avg_rebounds_allowed,opp_avg_assists_allowed
Bam Adebayo,PHX,0,34.0,20.6,9.4,4.6,12.0,12.0,6.0,13.171052631578947,4.7894736842105265,3.276315789473684
Bam Adebayo,SAC,1,36.0,18.2,10.2,5.4,16.0,8.0,5.0,13.395604395604396,4.142857142857143,3.197802197802198
Bam Adebayo,WAS,0,31.0,15.4,9.6,5.0,32.0,14.0,2.0,14.329896907216495,5.402061855670103,3.2061855670103094
Bam Adebayo,NYK,1,33.0,17.8,10.0,4.8,11.0,3.0,4.0,11.5,4.583333333333333,2.2142857142857144
Bam Adebayo,DET,1,35.0,18.2,9.2,4.2,12.0,10.0,4.0,13.333333333333334,4.777777777777778,3.0303030303030303
Bam Adebayo,CHA,0,33.0,16.6,9.4,4.2,12.0,11.0,3.0,12.072289156626505,4.819277108433735,3.0843373493975905
Bam Adebayo,ORL,1,26.0,16.6,9.2,3.6,9.0,5.0,1.0,13.755555555555556,5.0,2.688888888888889
Ochai Agbaji,BKN,0,22.0,15.4,3.4,1.2,12.0,8.0,2.0,12.61111111111111,5.144444444444445,2.511111111111111
Ochai Agbaji,WAS,0,30.0,15.0,4.6,1.4,9.0,4.0,3.0,14.329896907216495,5.402061855670103,3.2061855670103094
Ochai Agbaji,SAS,1,30.0,12.0,4.2,2.0,2.0,7.0,3.0,12.597402597402597,5.142857142857143,3.4025974025974026
Ochai Agbaji,GSW,0,26.0,9.4,5.0,2.2,9.0,5.0,1.0,13.617283950617283,5.098765432098766,2.7777777777777777
Ochai Agbaji,POR,0,25.0,8.2,5.4,2.2,19.0,3.0,2.0,12.975903614457831,4.795180722891566,2.7349397590361444
Ochai Agbaji,CHI,0,1.0,10.2,5.4,2.2,3.0,0.0,0.0,14.773809523809524,5.166666666666667,3.3333333333333335
Ochai Agbaji,IND,0,31.0,8.4,3.8,1.8,10.0,4.0,0.0,14.05813953488372,5.186046511627907,3.2906976744186047
Ochai Agbaji,BOS,1,24.0,8.6,3.8,1.2,8.0,5.0,1.0,11.329896907216495,4.494845360824742,2.3195876288659796
Ochai Agbaji,PHX,1,19.0,9.8,3.4,0.8,5.0,2.0,0.0,13.171052631578947,4.7894736842105265,3.276315789473684
Ochai Agbaji,MIA,1,18.0,9.0,2.8,0.6,2.0,3.0,2.0,13.307692307692308,5.461538461538462,3.0549450549450547
Ochai Agbaji,CLE,1,25.0,5.6,2.8,0.6,15.0,3.0,0.0,13.145833333333334,4.78125,2.96875
Ochai Agbaji,PHI,0,27.0,8.0,3.4,0.6,11.0,4.0,1.0,13.16304347826087,4.967391304347826,2.902173913043478
Ochai Agbaji,HOU,0,32.0,8.2,3.4,0.8,11.0,5.0,2.0,12.158536585365853,4.414634146341464,2.475609756097561
Ochai Agbaji,OKC,0,30.0,8.8,3.4,1.0,8.0,8.0,1.0,10.840425531914894,4.202127659574468,2.223404255319149
Ochai Agbaji,MEM,1,22.0,9.4,4.6,1.2,14.0,3.0,2.0,11.378947368421052,3.873684210526316,3.0842105263157893
Ochai Agbaji,NYK,1,23.0,11.8,4.6,1.2,7.0,3.0,0.0,11.5,4.583333333333333,2.2142857142857144
Ochai Agbaji,LAC,1,20.0,10.2,4.6,1.2,12.0,5.0,3.0,11.64367816091954,4.425287356321839,2.7126436781609193
Ochai Agbaji,CHI,1,22.0,10.4,4.8,1.6,4.0,2.0,1.0,14.773809523809524,5.166666666666667,3.3333333333333335
Ochai Agbaji,WAS,0,24.0,9.0,4.2,1.4,12.0,3.0,1.0,14.329896907216495,5.402061855670103,3.2061855670103094
Ochai Agbaji,NOP,1,12.0,9.8,3.2,1.4,2.0,1.0,0.0,13.10752688172043,5.21505376344086,3.118279569892473
Ochai Agbaji,BOS,1,12.0,7.4,2.8,1.0,5.0,4.0,1.0,11.329896907216495,4.494845360824742,2.3195876288659796
Ochai Agbaji,GSW,1,25.0,7.0,3.0,1.2,12.0,3.0,0.0,13.617283950617283,5.098765432098766,2.7777777777777777
Ochai Agbaji,NYK,0,9.0,7.0,2.6,0.6,4.0,0.0,1.0,11.5,4.583333333333333,2.2142857142857144
Ochai Agbaji,MIL,1,24.0,7.0,2.2,0.6,2.0,4.0,1.0,13.353535353535353,4.848484848484849,2.808080808080808
Ochai Agbaji,ORL,1,33.0,5.0,2.4,0.6,15.0,3.0,1.0,13.755555555555556,5.0,2.688888888888889
Ochai Agbaji,BKN,1,37.0,7.6,2.8,0.8,14.0,3.0,2.0,12.61111111111111,5.144444444444445,2.511111111111111
